rowid;fpl_hostname;fpl_letter;fpl_name;fpl_discmethod;fpl_controvflag;fpl_disc;fpl_orbper;fpl_smax;fpl_eccen;fpl_bmasse;fpl_bmassj;fpl_bmassprov;fpl_rade;fpl_radj;fpl_rads;fpl_dens;fpl_eqt;fpl_insol;fpl_tranflag;fpl_cbflag;fpl_snum;ra_str;ra;dec_str;dec;fst_dist;fst_optmag;fst_optmagband;fst_nirmag;fst_nirmagband;fst_spt;fst_teff;fst_logg;fst_lum;fst_mass;fst_rad;fst_met;fst_metratio;fst_age
1;11 Com;b;11 Com b;Radial Velocity;0;2007;32.603.000.000;1.290.000;0.231000;616.560.000;1.940.000;Msini;12.100;1.080;0.111;1.910.000;;;0;0;1;12h20m43.03s;185.179.276;+17d47m34.3s;17.792.868;93.37;4.740;V (Johnson);2.282;Ks (2MASS);K0 III;4742.00;2.31;2.243;2.70;19.00;-0.350;[Fe/H];
2;11 UMi;b;11 UMi b;Radial Velocity;0;2009;51.621.997.000;1.530.000;0.080000;468.481.420;1.474.000;Msini;12.300;1.090;0.112;1.380.000;;;0;0;1;15h17m05.89s;229.274.536;+71d49m26.0s;71.823.898;125.72;5.016;V (Johnson);1.939;Ks (2MASS);K4 III;4213.00;1.93;2.430;2.78;29.79;-0.020;[Fe/H];1.560
3;14 And;b;14 And b;Radial Velocity;0;2008;18.584.000.000;0.830000;0.000000;152.550.000;480.000;Msini;12.900;1.150;0.118;390.000;;;0;0;1;23h31m17.42s;352.822.571;+39d14m10.3s;39.236.198;75.59;5.227;V (Johnson);2.331;Ks (2MASS);G8 III;4813.00;2.63;1.763;2.20;11.00;-0.240;[Fe/H];4.500
4;14 Her;b;14 Her b;Radial Velocity;0;2002;177.340.002.000;2.930.000;0.370000;148.108.780;466.000;Msini;12.900;1.150;0.118;379.000;;;0;0;1;16h10m24.31s;242.601.303;+43d49m03.5s;43.817.646;17.94;6.610;V (Johnson);4.714;Ks (2MASS);K0 V;5338.00;4.45;-0.151;0.90;0.93;0.410;[Fe/H];5.240
5;16 Cyg B;b;16 Cyg B b;Radial Velocity;0;1996;79.850.000.000;1.660.000;0.680000;56.573.740;178.000;Msini;13.500;1.200;0.123;126.000;;;0;0;3;19h41m51.97s;295.466.553;+50d31m03.1s;50.517.525;21.15;6.250;V (Johnson);4.651;Ks (2MASS);G2.5 V;5750.00;4.36;0.100;1.08;1.13;0.060;[Fe/H];7.400
6;18 Del;b;18 Del b;Radial Velocity;0;2008;99.330.000.000;2.600.000;0.080000;327.350.000;1.030.000;Msini;12.500;1.110;0.114;921.000;;;0;0;1;20h58m25.94s;314.608.063;+10d50m21.4s;10.839.286;76.38;5.506;V (Johnson);3.366;Ks (2MASS);G6 III;4979.00;2.82;1.602;2.30;8.50;-0.052;[Fe/H];1.100
7;1RXS J160929.1-210524;b;1RXS J160929.1-210524 b;Imaging;0;2008;;330.000.000;;300.000.000;800.000;Mass;18.647;1.664;0.171;254.000;1700;;0;0;1;16h09m30.30s;242.376.268;-21d04m58.9s;-21.083.036;145.00;12.057;G (Gaia);8.916;Ks (2MASS);K7 V;4060.00;;-0.370;0.85;1.18;;;0.005
8;24 Boo;b;24 Boo b;Radial Velocity;0;2018;3.035.060.000;0.190000;0.042000;28.922.530;0.91000;Msini;13.900;1.240;0.127;0.59200;;;0;0;1;14h28m37.81s;217.157.547;+49d50m41.5s;49.844.852;96.25;5.580;V (Johnson);3.159;Ks (2MASS);G3 IV;4893.00;2.42;1.774;0.99;10.64;-0.770;[Fe/H];6.920
9;24 Sex;b;24 Sex b;Radial Velocity;0;2010;45.280.000.000;1.333.000;0.090000;63.246.000;199.000;Msini;13.400;1.190;0.123;144.000;;;0;0;1;10h23m28.37s;155.868.210;-00d54m08.1s;-0.902244;72.21;6.441;V (Johnson);4.285;Ks (2MASS);K0 IV;5098.00;3.50;1.164;1.54;4.90;-0.030;[Fe/H];2.700
10;24 Sex;c;24 Sex c;Radial Velocity;0;2010;88.300.000.000;2.080.000;0.290000;27.332.000;0.86000;Msini;13.900;1.240;0.127;0.55900;;;0;0;1;10h23m28.37s;155.868.210;-00d54m08.1s;-0.902244;72.21;6.441;V (Johnson);4.285;Ks (2MASS);K0 IV;5098.00;3.50;1.164;1.54;4.90;-0.030;[Fe/H];2.700
11;2MASS J01225093-2439505;b;2MASS J01225093-2439505 b;Imaging;0;2013;;52.000.000;;778.650.000;2.450.000;Mass;11.209;1.000;0.103;3.040.000;1600;;0;0;1;01h22m50.94s;20.712.243;-24d39m50.6s;-24.664.049;36.00;14.240;V (Johnson);9.198;Ks (2MASS);M3.5 V;3530.00;;-1.720;0.40;;;;0.120
12;2MASS J02192210-3925225;b;2MASS J02192210-3925225 b;Imaging;0;2015;;156.000.000;;441.783.700;1.390.000;Mass;16.141;1.440;0.148;577.000;;;0;0;1;02h19m22.11s;34.842.106;-39d25m22.5s;-39.422.928;39.40;15.012;G (Gaia);10.404;Ks (2MASS);M6;3064.00;4.59;-2.230;0.11;0.28;;;0.035
13;2MASS J04414489+2301513;b;2MASS J04414489+2301513 b;Imaging;0;2010;;15.000.000;;238.360.000;750.000;Mass;12.600;1.130;0.116;655.000;;;0;0;1;04h41m44.90s;70.437.073;+23d01m51.4s;23.030.941;140.00;18.967;G (Gaia);13.161;Ks (2MASS);M8.5;;;;0.02;;;;0.001
14;2MASS J12073346-3932539;b;2MASS J12073346-3932539 b;Imaging;0;2004;;46.000.000;;127.100.000;400.000;Mass;13.000;1.160;0.119;318.000;1150;;0;0;1;12h07m33.47s;181.889.447;-39d32m54.0s;-39.548.332;64.42;20.150;V (Johnson);11.945;Ks (2MASS);M8;;;;0.02;;;;0.008
15;2MASS J19383260+4603591;b;2MASS J19383260+4603591 b;Eclipse Timing Variations;0;2015;41.600.000.000;0.920000;;60.387.700;190.000;Mass;13.400;1.200;0.123;138.000;;;0;1;2;19h38m32.61s;294.635.865;+46d03m59.1s;46.066.418;400.77;12.138;G (Gaia);12.955;Ks (2MASS);;10868.00;3.91;0.168;0.48;0.34;-0.092;[Fe/H];
16;2MASS J21402931+1625183 A;b;2MASS J21402931+1625183 A b;Imaging;0;2009;733.650.000.000;;0.260000;665.748.000;2.095.000;Mass;10.310;0.920;0.090;3.340.000;2075;;0;0;1;21h40m29.32s;325.122.159;+16d25m18.3s;16.421.759;25.00;17.396;G (Gaia);11.826;Ks (2MASS);M8.5;2300.00;;-3.480;0.08;0.12;;;
17;2MASS J22362452+4751425;b;2MASS J22362452+4751425 b;Imaging;0;2016;;230.000.000;;397.287.500;1.250.000;Mass;12.300;1.100;0.113;1.170.000;;;0;0;1;22h36m24.53s;339.102.203;+47d51m42.6s;47.861.820;74.00;12.510;V (Johnson);9.148;Ks (2MASS);K7 V;4045.00;;-1.021;0.60;0.62;;;0.120
18;30 Ari B;b;30 Ari B b;Radial Velocity;0;2009;33.510.001.000;0.990000;0.290000;439.241.060;1.382.000;Msini;12.300;1.100;0.113;1.300.000;;;0;0;4;02h36m57.74s;39.240.585;+24d38m53.0s;24.648.064;44.71;6.962;V (Johnson);5.822;Ks (2MASS);F6 V;6331.00;4.43;0.381;1.93;1.41;0.190;[Fe/H];0.910
19;4 UMa;b;4 UMa b;Radial Velocity;0;2006;26.930.000.000;0.870000;0.432000;225.650.000;710.000;Msini;12.700;1.130;0.116;605.000;;;0;0;1;08h40m12.82s;130.053.406;+64d19m40.6s;64.327.934;73.58;4.610;V (Johnson);1.734;Ks (2MASS);K1 III;4415.00;1.80;2.062;1.23;18.11;-0.250;[Fe/H];4.604
20;42 Dra;b;42 Dra b;Radial Velocity;0;2008;47.910.000.000;1.190.000;0.380000;123.313.000;388.000;Msini;13.000;1.160;0.119;308.000;;;0;0;1;18h25m59.14s;276.496.399;+65d33m48.5s;65.563.484;90.86;4.820;V (Johnson);2.085;Ks (2MASS);K1.5 III;4200.00;1.71;2.155;0.98;22.03;-0.460;[Fe/H];9.490
21;47 UMa;b;47 UMa b;Radial Velocity;0;1996;107.800.000.000;2.100.000;0.032000;80.408.000;253.000;Msini;13.200;1.180;0.121;192.000;;;0;0;1;10h59m27.97s;164.866.562;+40d25m48.9s;40.430.256;13.80;5.050;V (Johnson);3.750;Ks (2MASS);G0 V;5892.00;4.27;0.216;1.03;1.23;0.000;[Fe/H];7.300
22;47 UMa;c;47 UMa c;Radial Velocity;0;2001;239.100.000.000;3.600.000;0.098000;17.162.100;0.54000;Msini;14.200;1.270;0.130;0.32900;;;0;0;1;10h59m27.97s;164.866.562;+40d25m48.9s;40.430.256;13.80;5.050;V (Johnson);3.750;Ks (2MASS);G0 V;5892.00;4.27;0.216;1.03;1.23;0.000;[Fe/H];7.300
23;47 UMa;d;47 UMa d;Radial Velocity;0;2009;1.400.200.000.000;11.600.000;0.160000;52.122.000;164.000;Msini;13.500;1.200;0.124;116.000;;;0;0;1;10h59m27.97s;164.866.562;+40d25m48.9s;40.430.256;13.80;5.050;V (Johnson);3.750;Ks (2MASS);G0 V;5892.00;4.27;0.216;1.03;1.23;0.000;[Fe/H];7.300
24;51 Eri;b;51 Eri b;Imaging;0;2015;1.168.800.000.000;12.000.000;0.450000;63.566.000;200.000;Mass;13.400;1.190;0.123;145.000;700;;0;0;3;04h37m36.13s;69.400.551;-02d28m24.8s;-2.473.548;29.40;5.230;V (Johnson);4.537;Ks (2MASS);F0 IV;7190.10;;0.850;1.75;1.56;-0.027;[M/H];0.020
25;51 Peg;b;51 Peg b;Radial Velocity;0;1995;423.078.500;0.052700;0.013000;14.620.180;0.46000;Mass;14.300;1.270;0.131;0.27500;;;0;0;1;22h57m27.98s;344.366.577;+20d46m07.8s;20.768.833;15.47;5.500;V (Johnson);3.911;Ks (2MASS);G2.5 IV;5793.00;4.33;0.147;1.12;1.20;0.200;[Fe/H];4.000
26;55 Cnc;b;55 Cnc b;Radial Velocity;0;1996;1.465.152.000;0.115227;0.003400;26.397.850;0.83060;Mass;13.900;1.240;0.128;0.54000;700;;0;0;2;08h52m35.81s;133.149.216;+28d19m50.9s;28.330.818;12.59;5.960;V (Johnson);4.015;Ks (2MASS);G8 V;5196.00;4.45;-0.235;0.91;0.94;0.310;[Fe/H];10.200
27;55 Cnc;c;55 Cnc c;Radial Velocity;0;2004;4.441.750.000;0.241376;0.020000;5.447.380;0.17140;Mass;8.510;0.760;0.078;0.48600;;;0;0;2;08h52m35.81s;133.149.216;+28d19m50.9s;28.330.818;12.59;5.960;V (Johnson);4.015;Ks (2MASS);G8 V;5196.00;4.45;-0.235;0.91;0.94;0.310;[Fe/H];10.200
28;55 Cnc;d;55 Cnc d;Radial Velocity;0;2002;482.500.000.000;5.503.000;0.019000;123.249.300;387.800;Mass;13.000;1.160;0.119;308.000;;;0;0;2;08h52m35.81s;133.149.216;+28d19m50.9s;28.330.818;12.59;5.960;V (Johnson);4.015;Ks (2MASS);G8 V;5196.00;4.45;-0.235;0.91;0.94;0.310;[Fe/H];10.200
29;55 Cnc;e;55 Cnc e;Radial Velocity;0;2004;0.73653900;0.015440;0.028000;808.000;0.02542;Mass;1.910;0.170;0.018;640.000;1958;;1;0;2;08h52m35.81s;133.149.216;+28d19m50.9s;28.330.818;12.59;5.960;V (Johnson);4.015;Ks (2MASS);G8 V;5196.00;4.45;-0.235;0.91;0.94;0.310;[Fe/H];10.200
30;55 Cnc;f;55 Cnc f;Radial Velocity;0;2007;26.200.000.000;0.788000;0.305000;4.481.200;0.14100;Mass;7.590;0.677;0.070;0.56300;;;0;0;2;08h52m35.81s;133.149.216;+28d19m50.9s;28.330.818;12.59;5.960;V (Johnson);4.015;Ks (2MASS);G8 V;5196.00;4.45;-0.235;0.91;0.94;0.310;[Fe/H];10.200
31;6 Lyn;b;6 Lyn b;Radial Velocity;0;2008;93.430.000.000;2.110.000;0.073000;63.883.830;201.000;Msini;13.400;1.190;0.123;146.000;;;0;0;1;06h30m47.11s;97.696.281;+58d09m45.5s;58.162.632;54.74;5.860;V (Johnson);3.701;Ks (2MASS);K0 III-IV;4938.00;3.19;1.156;1.44;5.20;-0.100;[Fe/H];2.353
32;61 Vir;b;61 Vir b;Radial Velocity;0;2009;421.500.000;0.050201;0.120000;510.000;0.01600;Msini;2.110;0.188;0.019;298.000;;;0;0;1;13h18m24.32s;199.601.318;-18d18m40.3s;-18.311.195;8.51;4.740;V (Johnson);2.956;Ks (2MASS);G5 V;5577.00;4.34;-0.095;0.94;0.96;-0.010;[Fe/H];8.960
33;61 Vir;c;61 Vir c;Radial Velocity;0;2009;3.802.100.000;0.217500;0.140000;1.820.000;0.05700;Msini;4.460;0.398;0.041;113.000;;;0;0;1;13h18m24.32s;199.601.318;-18d18m40.3s;-18.311.195;8.51;4.740;V (Johnson);2.956;Ks (2MASS);G5 V;5577.00;4.34;-0.095;0.94;0.96;-0.010;[Fe/H];8.960
34;61 Vir;d;61 Vir d;Radial Velocity;0;2009;12.301.000.000;0.476000;0.350000;2.290.000;0.07200;Msini;5.110;0.456;0.047;0.94300;;;0;0;1;13h18m24.32s;199.601.318;-18d18m40.3s;-18.311.195;8.51;4.740;V (Johnson);2.956;Ks (2MASS);G5 V;5577.00;4.34;-0.095;0.94;0.96;-0.010;[Fe/H];8.960
35;7 CMa;b;7 CMa b;Radial Velocity;0;2011;79.600.000.000;1.930.000;0.220000;78.186.180;246.000;Msini;13.300;1.180;0.122;183.000;;;0;0;1;06h36m41.04s;99.170.990;-19d15m21.2s;-19.255.878;19.82;3.920;V (Johnson);1.564;Ks (2MASS);K1 III;4792.00;3.25;1.053;1.52;2.30;0.210;[Fe/H];
36;70 Vir;b;70 Vir b;Radial Velocity;0;1996;11.668.800.000;0.481000;0.398800;238.045.000;749.000;Mass;12.600;1.130;0.116;654.000;;;0;0;1;13h28m25.81s;202.107.544;+13d46m43.6s;13.778.788;17.91;4.970;V (Johnson);3.500;Ks (2MASS);G4 V;5495.00;3.95;0.487;1.09;1.89;-0.110;[Fe/H];7.920
